GolferID,Week,RankingPoints,Position,Odds
9987,1,0,125,1500
9936,1,0,77,150
9926,1,0,67,50
9875,1,2.21,33,250
9772,1,0,94,175
9605,1,2.62,26,500
9602,1,1.9,39,100
9594,1,2.62,26,150
9592,1,9.14,7,90
9587,1,0,59,500
9586,1,6.72,10,18
9561,1,0,60,200
9350,1,0,122,225
6976,1,0,60,250
6555,1,0,73,175
6530,1,1.59,44,500
6526,1,0,84,90
6371,1,4.76,15,150
6368,1,0,123,600
6352,1,0,60,150
6348,1,1.29,50,125
6319,1,0,93,400
6311,1,0,55,300
6253,1,0,102,350
6252,1,0,119,350
6249,1,0,91,70
6243,1,0,85,125
6241,1,0,83,80
6240,1,0,121,600
6235,1,0,60,150
6204,1,0,127,100
6167,1,2.21,33,250
6145,1,0,99,350
6073,1,0,109,500
6053,1,0,110,100
5967,1,0,95,1000
5962,1,13.81,4,50
5953,1,0,100,200
5907,1,0,74,500
5870,1,0,131,500
5837,1,0,80,80
5816,1,0,106,1000
5797,1,0,97,200
5795,1,0,116,80
5794,1,0,55,200
5791,1,0,75,500
5776,1,1.59,44,500
5760,1,0,104,350
5754,1,6.72,10,7
5734,1,0,86,400
5688,1,0,117,
5687,1,0,98,350
5644,1,0,118,200
5638,1,0,128,600
5627,1,0,81,275
5626,1,0,126,100
5605,1,6.72,10,150
5595,1,0,112,150
5580,1,0,120,175
5556,1,0,67,225
5541,1,0,111,66
5515,1,0,113,1000
5509,1,0,105,500
5503,1,2.62,26,1000
5489,1,6.72,10,200
5488,1,2.62,26,125
5465,1,1.59,44,175
5459,1,0,114,175
5449,1,2.62,26,140
5441,1,0,79,250
5437,1,0,76,50
5433,1,1.29,50,225
5428,1,4.76,15,33
5420,1,1.59,44,40
5419,1,0,70,250
5405,1,0,72,500
5401,1,0,55,250
5392,1,1.59,44,66
5391,1,0,115,350
5389,1,3.39,20,90
5385,1,0,60,400
5378,1,2.21,33,400
5377,1,0,78,500
5374,1,0,,125
5373,1,0,96,20
5372,1,2.21,33,175
5370,1,1.9,39,175
5368,1,2.62,26,80
5367,1,3.39,20,50
5363,1,0,103,200
5362,1,3.39,20,200
5359,1,9.14,7,400
5358,1,0,90,1000
5357,1,4.76,15,66
5345,1,0,87,100
5336,1,2.21,33,66
5329,1,6.72,10,125
5322,1,3.39,20,100
5318,1,22.4,3,10
5315,1,1.9,39,250
5313,1,0,108,250
5302,1,0,101,175
5300,1,2.62,26,100
5297,1,0,124,400
5296,1,0,55,66
5294,1,3.39,20,175
5288,1,1.29,50,225
5281,1,4.76,15,200
5278,1,0,88,200
5274,1,33.6,2,100
5270,1,9.14,7,20
5267,1,3.39,20,22
5266,1,0,60,80
5262,1,0,67,70
5261,1,0,82,125
5257,1,0,60,125
5256,1,0,107,160
5254,1,2.21,33,250
5253,1,0,129,200
5251,1,1.9,39,75
5250,1,1.29,50,200
5248,1,4.76,15,12
5247,1,0,89,22
5244,1,1.9,39,40
5243,1,1.59,44,160
5242,1,0,92,125
5241,1,56,1,20
5240,1,13.81,4,28
5234,1,13.81,4,50
5232,1,0,80,28
5235,1,0,81,6
5236,1,0,,14
5245,1,0,56,20
5246,1,3.48,18,125
5252,1,48,1,8
5258,1,7.96,6,25
5259,1,0,96,33
5260,1,7.96,6,35
5263,1,0,57,10
5264,1,0,68,250
5265,1,0,106,350
5289,1,0,114,150
5293,1,0,89,125
5298,1,4.6,13,80
5304,1,0,64,80
5307,1,0,67,175
5316,1,0,84,28
5323,1,0,79,300
5335,1,0,92,275
5346,1,7.96,6,200
5347,1,1.8,34,600
5354,1,0,113,70
5356,1,1.34,44,
5360,1,0,61,175
5371,1,0,115,350
5375,1,0,69,1000
5379,1,2.44,24,150
5390,1,2.83,22,35
5400,1,0,124,350
5404,1,0,83,500
5407,1,0,91,250
5415,1,0,119,350
5416,1,2.83,22,500
5417,1,28.8,2,
5429,1,0,71,250
5447,1,0,97,350
5462,1,4.6,13,250
5468,1,0,78,150
5483,1,0,132,
5486,1,0,82,150
5494,1,7.96,6,110
5496,1,0,54,90
5502,1,0,122,500
5505,1,0,103,350
5537,1,1.8,34,225
5548,1,0,121,125
5549,1,1.8,34,200
5572,1,0,51,200
5578,1,0,90,300
